Time,Ultrasonic_p2_01
77.000,34.500,
77.100,33.400,
77.200,33.400,
77.300,33.400,
77.400,36.600,
77.500,37.200,
77.600,32.800,
77.700,34.700,
77.800,40.300,
77.900,49.800,
78.000,49.800,
78.100,49.800,
78.200,49.800,
78.300,47.400,
78.400,46.900,
78.500,52.300,
78.600,52.300,
78.700,52.300,
78.800,48.300,
78.900,47.400,
79.000,47.300,
79.100,53.400,
79.200,49.000,
79.300,46.900,
79.400,50.600,
79.500,56.100,
79.600,51.700,
79.700,51.700,
79.800,56.100,
79.900,51.500,
80.000,51.500,
80.100,54.400,
80.200,48.300,
80.300,33.800,
80.400,39.700,
80.500,51.500,
80.600,49.900,
80.700,47.400,
80.800,52.300,
80.900,52.300,
81.000,52.300,
81.100,52.300,
81.200,32.600,
81.300,32.600,
81.400,32.600,
81.500,32.600,
81.600,32.600,
81.700,32.600,
81.800,32.600,
81.900,32.600,
82.000,32.600,
82.100,32.600,
82.200,32.600,
82.300,32.600,
82.400,32.600,
82.500,32.600,
82.600,32.600,
82.700,32.600,
82.800,32.600,
82.900,32.600,
83.000,32.600,
83.100,32.600,
83.200,32.600,
83.300,32.600,
83.400,32.600,
83.500,32.600,
83.600,32.600,
83.700,255.000,
83.800,255.000,
83.900,255.000,
84.000,255.000,
84.100,255.000,
84.200,255.000,
84.300,255.000,
84.400,255.000,
84.500,255.000,
84.600,255.000,
84.700,255.000,
84.800,255.000,
84.900,255.000,
85.000,255.000,
85.100,255.000,
85.200,255.000,
85.300,255.000,
85.400,255.000,
85.500,255.000,
85.600,255.000,
85.700,255.000,
85.800,255.000,
85.900,255.000,
86.000,255.000,
86.100,255.000,
86.200,255.000,
86.300,255.000,
86.400,255.000,
86.500,255.000,
86.600,255.000,
86.700,255.000,
86.800,255.000,
86.900,255.000,
87.000,255.000,
87.100,255.000,
87.200,255.000,
87.300,255.000,
87.400,255.000,
87.500,255.000,
87.600,255.000,
87.700,255.000,
87.800,255.000,
87.900,255.000,
88.000,255.000,
88.100,255.000,
88.200,255.000,
88.300,255.000,
88.400,255.000,
88.500,255.000,
88.600,255.000,
88.700,255.000,
88.800,255.000,
88.900,255.000,
89.000,255.000,
89.100,255.000,
89.200,255.000,
89.300,255.000,
89.400,255.000,
89.500,255.000,
89.600,255.000,
89.700,255.000,
89.800,255.000,
89.900,255.000,
90.000,255.000,
90.100,255.000,
90.200,255.000,
90.300,255.000,
90.400,255.000,
90.500,255.000,
90.600,255.000,
90.700,255.000,
90.800,255.000,
90.900,255.000,
91.000,255.000,
91.100,255.000,
91.200,255.000,
91.300,255.000,
91.400,255.000,
91.500,255.000,
91.600,255.000,
91.700,255.000,
91.800,255.000,
91.900,255.000,
92.000,255.000,
92.100,255.000,
92.200,255.000,
92.300,255.000,
92.400,255.000,
92.500,255.000,
92.600,255.000,
92.700,255.000,
92.800,255.000,
92.900,255.000,
93.000,255.000,
93.100,255.000,
93.200,255.000,
93.300,255.000,
93.400,255.000,
93.500,255.000,
93.600,255.000,
93.700,255.000,
93.800,255.000,
93.900,255.000,
94.000,255.000,
94.100,255.000,
94.200,255.000,
94.300,255.000,
94.400,255.000,
94.500,255.000,
94.600,255.000,
94.700,255.000,
94.800,255.000,
94.900,255.000,
95.000,255.000,
95.100,255.000,
95.200,255.000,
95.300,255.000,
95.400,255.000,
95.500,255.000,
95.600,255.000,
95.700,255.000,
95.800,255.000,
95.900,255.000,
96.000,255.000,
96.100,255.000,
96.200,255.000,
96.300,255.000,
96.400,255.000,
96.500,255.000,
96.600,255.000,
96.700,255.000,
96.800,255.000,
96.900,255.000,
97.000,255.000,
97.100,255.000,
97.200,255.000,
97.300,255.000,
97.400,255.000,
97.500,255.000,
97.600,255.000,
97.700,255.000,
97.800,255.000,
97.900,255.000,
98.000,255.000,
98.100,255.000,
98.200,255.000,
98.300,255.000,
98.400,255.000,
98.500,255.000,
98.600,255.000,
98.700,255.000,
98.800,255.000,
98.900,255.000,
99.000,255.000,
99.100,255.000,
99.200,255.000,
99.300,255.000,
