Time,Ultrasonic_p2_01,Ultrasonic_p2_02,Ultrasonic_p2_03,Ultrasonic_p2_04,Ultrasonic_p2_05,Ultrasonic_p2_06,Ultrasonic_p2_07,Ultrasonic_p2_08,Ultrasonic_p2_09,Ultrasonic_p2_10,Ultrasonic_p2_11,Ultrasonic_p2_12,Ultrasonic_p2_13,Ultrasonic_p2_14,Ultrasonic_p2_15,Ultrasonic_p2_16,Ultrasonic_p2_17
11.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.600,
11.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.100,
11.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.100,
11.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.500,
11.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.600,
11.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.600,
12.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.200,
12.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.000,
12.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.700,
12.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.800,
12.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.600,
12.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.600,
12.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.600,
12.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.900,
12.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.600,
12.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.200,
13.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.600,
13.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.600,
13.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.800,
13.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.100,
13.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.600,
13.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.600,
13.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.900,
13.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
13.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.100,
13.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.400,
14.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.000,
14.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68.500,
14.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.400,
14.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.500,
14.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.300,
14.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
14.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
14.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.500,
14.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.200,
14.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.300,
15.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.500,
15.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
15.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
15.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.200,
15.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.400,
15.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.400,
15.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.500,
15.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
15.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.600,
15.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.600,
16.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.200,
16.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.600,
16.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.000,
16.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.000,
16.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.600,
16.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.100,
16.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.700,
16.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.200,
16.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.300,
16.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
17.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
17.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.000,
17.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.400,
17.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.300,
17.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.100,
17.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
17.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
17.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.300,
17.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.900,
17.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.100,
18.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.500,
18.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.000,
18.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.300,
18.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.400,
18.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.300,
18.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.000,
18.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.300,
18.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.600,
18.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.200,
18.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.200,
19.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.300,
19.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.100,
19.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.400,
19.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.600,
19.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.600,
19.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.500,
19.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.000,
19.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.000,
19.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.000,
19.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.700,
20.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.500,
20.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.900,
20.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
20.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.600,
20.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.600,
20.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.400,
20.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.400,
20.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.100,
20.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.400,
20.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.900,
21.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.500,
21.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
21.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
21.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
21.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.600,
21.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.200,
21.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.200,
21.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.900,
